filename,character,id,description
HM.S1.E4.C44 Heimerdinger sad about terrorism.mp4,Heimerdinger,HM.S1.E4.C44,Heimerdinger sad about terrorism
JX.S1.E4.C45 Jinx scolded by Silco; gives hexgem.mp4,Jinx,JX.S1.E4.C45,Jinx scolded by Silco; gives hexgem
JX.S1.E4.C46 Jinx fireworks.mp4,Jinx,JX.S1.E4.C46,Jinx fireworks
PO.S1.E4.C47 Jinx vandalism.mp4,Piltover,PO.S1.E4.C47,Jinx vandalism
CL.S1.E4.C48 Caitlyn rants about her investigation.mp4,Caitlyn,CL.S1.E4.C48,Caitlyn rants about her investigation
VI.S1.E4.C49 Vi prison fight.mp4,Vi,VI.S1.E4.C49,Vi prison fight
VI.S1.E4.C50 Vi timeskip introduction; meets Caitlyn.mp4,Vi,VI.S1.E4.C50,Vi timeskip introduction; meets Caitlyn
CL.S1.E4.C51 Caitlyn goes to stillwater; talks to guard.mp4,Caitlyn,CL.S1.E4.C51,Caitlyn goes to stillwater; talks to guard
CL.S1.E4.C52 Caitlyn goes down elevator.mp4,Caitlyn,CL.S1.E4.C52,Caitlyn goes down elevator
CL.S1.E4.C53 Caitlyn meets Vi.mp4,Caitlyn,CL.S1.E4.C53,Caitlyn meets Vi
CL.S1.E5.C01 Caitlyn young shooting gun.mp4,Caitlyn,CL.S1.E5.C01,Caitlyn young shooting gun
CL.S1.E5.C02 Caitlyn confronts Greyson.mp4,Caitlyn,CL.S1.E5.C02,Caitlyn confronts Greyson
CL.S1.E5.C03 Caitlyn inspired by Greyson.mp4,Caitlyn,CL.S1.E5.C03,Caitlyn inspired by Greyson
PO.S1.E5.C04 Kiramann party.mp4,Piltover,PO.S1.E5.C04,Kiramann party
CL.S1.E5.C05 Caitlyn interrogates Vi; releases her.mp4,Caitlyn,CL.S1.E5.C05,Caitlyn interrogates Vi; releases her
PO.S1.E5.C06 Stillwater prison.mp4,Piltover,PO.S1.E5.C06,Stillwater prison
VI.S1.E5.C07 Vi released from prison.mp4,Vi,VI.S1.E5.C07,Vi released from prison
MC.S1.E5.C08 Marcus gives funeral speech.mp4,Marcus,MC.S1.E5.C08,Marcus gives funeral speech
MC.S1.E5.C09 Marcus visits grave with daughter.mp4,Marcus,MC.S1.E5.C09,Marcus visits grave with daughter
VI.S1.E5.C10 Vi Shows Deckard Who Has Balls.mp4,Vi,VI.S1.E5.C10,Vi Shows Deckard Who Has Balls
MC.S1.E5.C11 Marcus works for Silco.mp4,Marcus,MC.S1.E5.C11,Marcus works for Silco
PO.S1.E5.C12 Hexgate inner workings.mp4,Piltover,PO.S1.E5.C12,Hexgate inner workings
SC.S1.E5.C13 Silco intiminates Marcus.mp4,Silco,SC.S1.E5.C13,Silco intiminates Marcus
JC.S1.E5.C15 Jayce talks to Marcus about corruption.mp4,Jayce,JC.S1.E5.C15,Jayce talks to Marcus about corruption
MC.S1.E5.C14 Marcus vs Silco.mp4,Marcus,MC.S1.E5.C15,Marcus vs Silco
VT.S1.E5.C16 Viktor in Hexgate; coughs blood; has visions.mp4,Viktor,VT.S1.E5.C16,Viktor in Hexgate; coughs blood; has visions
ZN.S1.E5.C17 Jinx tower.mp4,Zaun,ZN.S1.E5.C17,Jinx tower
JX.S1.E5.C18 Jinx learns Hextech.mp4,Jinx,JX.S1.E5.C18,Jinx learns Hextech
JX.S1.E5.C19 Jinx Hextech goes wrong.mp4,Jinx,JX.S1.E5.C19,Jinx Hextech goes wrong
JX.S1.E5.C20 Jinx scared of Hextech; trauma.mp4,Jinx,JX.S1.E5.C20,Jinx scared of Hextech; trauma
CL.S1.E5.C21 Caitlyn parkours into Zaun.mp4,Caitlyn,CL.S1.E5.C21,Caitlyn parkours into Zaun
VI.S1.E5.C22 Vi parkous into Zaun.mp4,Vi,VI.S1.E5.C22,Vi parkous into Zaun
VI.S1.E5.C23 Vi gets cool jacket.mp4,Vi,VI.S1.E5.C23,Vi gets cool jacket
PO.S1.E5.C24 Hexcore blueprint.mp4,Piltover,PO.S1.E5.C24,Hexcore blueprint
VT.S1.E5.C25 Viktor Hexcore first time.mp4,Viktor,VT.S1.E5.C25,Viktor Hexcore first time
VI.S1.E5.C26 Vi eats food in Zaun.mp4,Vi,VI.S1.E5.C26,Vi eats food in Zaun
HM.S1.E5.C27 Heimerdinger oblivious in opera and corruption.mp4,Heimerdinger,HM.S1.E5.C27,Heimerdinger oblivious in opera and corruption
JC.S1.E5.C28 Jayce good at corruption and politics.mp4,Jayce,JC.S1.E5.C28,Jayce good at corruption and politics
JX.S1.E5.C29 Jinx confronts her past; kills crow.mp4,Jinx,JX.S1.E5.C29,Jinx confronts her past; kills crow
JX.S1.E5.C30 Jinx rage emotions.mp4,Jinx,JX.S1.E5.C30,Jinx rage emotions
ML.S1.E5.C31 Mel and Jayce at opera.mp4,Mel,ML.S1.E5.C31,Mel and Jayce at opera
ML.S1.E5.C32 Mel pressures Jayce for corruption.mp4,Mel,ML.S1.E5.C32,Mel pressures Jayce for corruption
ML.S1.E5.C33 Mel manipulates noble; impressed with Jayce politics.mp4,Mel,ML.S1.E5.C33,Mel manipulates noble; impressed with Jayce politics
PO.S1.E5.C34 Piltover opera.mp4,Piltover,PO.S1.E5.C34,Piltover opera
VI.S1.E5.C35 Vi looks at changed home.mp4,Vi,VI.S1.E5.C35,Vi looks at changed home
CL.S1.E5.C36 Caitlyn and Vi visit brothel.mp4,Caitlyn,CL.S1.E5.C36,Caitlyn and Vi visit brothel
CL.S1.E5.C37 Caitlyn blends into brothel.mp4,Caitlyn,CL.S1.E5.C37,Caitlyn blends into brothel
VI.S1.E5.C38 Vi hits on Caitlyn.mp4,Vi,VI.S1.E5.C38,Vi hits on Caitlyn
VI.S1.E5.C39 Vi visits brothel.mp4,Vi,VI.S1.E5.C39,Vi visits brothel
VI.S1.E5.C40 Vi finds out Caitlyn is gay.mp4,Vi,VI.S1.E5.C40,Vi finds out Caitlyn is gay
ZN.S1.E5.C41 Zaun brothel.mp4,Zaun,ZN.S1.E5.C41,Zaun brothel
JC.S1.E5.C42 Jayce talks about Hextech greatness.mp4,Jayce,JC.S1.E5.C42,Jayce talks about Hextech greatness
JX.S1.E5.C43 Jinx in ceiling talking with Silco.mp4,Jinx,JX.S1.E5.C43,Jinx in ceiling talking with Silco
ML.S1.E5.C44 Mel seduces Jayce.mp4,Mel,ML.S1.E5.C44,Mel seduces Jayce
ML.S1.E5.C45 Mel kisses Jayce.mp4,Mel,ML.S1.E5.C45,Mel kisses Jayce
ML.S1.E5.C46 Mel has intercourse with Jayce.mp4,Mel,ML.S1.E5.C46,Mel has intercourse with Jayce
PO.S1.E5.C47 Hexcore consumes Viktor's blood.mp4,Piltover,PO.S1.E5.C47,Hexcore consumes Viktor's blood
VT.S1.E5.C48 Viktor fails using Hexcore.mp4,Viktor,VT.S1.E5.C48,Viktor fails using Hexcore
VT.S1.E5.C49 Viktor rejects Skye.mp4,Viktor,VT.S1.E5.C49,Viktor rejects Skye
VT.S1.E5.C50 Viktor gives up on Hexcore.mp4,Viktor,VT.S1.E5.C50,Viktor gives up on Hexcore
VT.S1.E5.C51 Viktor coughs blood and passes out.mp4,Viktor,VT.S1.E5.C51,Viktor coughs blood and passes out
JX.S1.E5.C52 Jinx baptized by Silco.mp4,Jinx,JX.S1.E5.C52,Jinx baptized by Silco
PO.S1.E5.C53 Hexcore in action.mp4,Piltover,PO.S1.E5.C53,Hexcore in action
SC.S1.E5.C54 Silco teaches Jinx about conquering the past.mp4,Silco,SC.S1.E5.C54,Silco teaches Jinx about conquering the past
MC.S1.E5.C55 Marcus angry at himself.mp4,Marcus,MC.S1.E5.C55,Marcus angry at himself
ML.S1.E5.C56 Mel wakes up alone.mp4,Mel,ML.S1.E5.C56,Mel wakes up alone
SV.S1.E5.C57 Sevika gambling.mp4,Sevika,SV.S1.E5.C57,Sevika gambling
VT.S1.E5.C58 Viktor dying of disease.mp4,Viktor,VT.S1.E5.C58,Viktor dying of disease
ZN.S1.E5.C59 Zaun band.mp4,Zaun,ZN.S1.E5.C59,Zaun band
CL.S1.E5.C60 Caitlyn shoots Sevika; saves Vi.mp4,Caitlyn,CL.S1.E5.C60,Caitlyn shoots Sevika; saves Vi
CL.S1.E5.C61 Caitlyn saves Vi;; they bond.mp4,Caitlyn,CL.S1.E5.C61,Caitlyn saves Vi;; they bond
JX.S1.E5.C62 Jinx unlocks Hextech.mp4,Jinx,JX.S1.E5.C62,Jinx unlocks Hextech
SV.S1.E5.C63 Sevika shimmer arm.mp4,Sevika,SV.S1.E5.C63,Sevika shimmer arm
SV.S1.E5.C64 Sevika stabs Vi.mp4,Sevika,SV.S1.E5.C64,Sevika stabs Vi
SV.S1.E5.C65 Sevika tells Silco about Vi.mp4,Sevika,SV.S1.E5.C65,Sevika tells Silco about Vi
SC.S1.E5.C66 Silco does makeup.mp4,Silco,SC.S1.E5.C66,Silco does makeup
VI.S1.E5.C67 Vi confronts Sevika.mp4,Vi,VI.S1.E5.C67,Vi confronts Sevika
VI.S1.E5.C68 Vi vs Sevika.mp4,Vi,VI.S1.E5.C68,Vi vs Sevika
ZN.S1.E6.C01 Zaun gets Introduced; broody atmohsphere.mp4,Zaun,ZN.S1.E6.C01,Zaun gets Introduced; broody atmohsphere
VT.S1.E6.C02 Viktor flashback; mechanical boat.mp4,Viktor,VT.S1.E6.C02,Viktor flashback; mechanical boat
VT.S1.E6.C03 Viktor meets Singed.mp4,Viktor,VT.S1.E6.C03,Viktor meets Singed
VT.S1.E6.C04 Viktor talks with Heimerdinger.mp4,Viktor,VT.S1.E6.C04,Viktor talks with Heimerdinger
JC.S1.E6.C05 Jayce vents to Mel.mp4,Jayce,JC.S1.E6.C05,Jayce vents to Mel
ML.S1.E6.C06 Mel paints.mp4,Mel,ML.S1.E6.C06,Mel paints
VT.S1.E6.C07 Viktor depressed staring at Hexcore.mp4,Viktor,VT.S1.E6.C07,Viktor depressed staring at Hexcore
VT.S1.E6.C08 Viktor syncs with Hexcore.mp4,Viktor,VT.S1.E6.C08,Viktor syncs with Hexcore
FL.S1.E6.C09 Firelight stalks Vi.mp4,Firelights,FL.S1.E6.C09,Firelight stalks Vi
JX.S1.E6.C10 Jinx chills at the bar.mp4,Jinx,JX.S1.E6.C10,Jinx chills at the bar
ZN.S1.E6.C11 Chuck at the bar harrased by Jinx.mp4,Zaun,ZN.S1.E6.C11,Chuck at the bar harrased by Jinx
SV.S1.E6.C12 Sevika knocked out by Jinx.mp4,Sevika,SV.S1.E6.C12,Sevika knocked out by Jinx
VI.S1.E6.C13 Vi injured.mp4,Vi,VI.S1.E6.C13,Vi injured
VI.S1.E6.C14 Vi jumps down pit.mp4,Vi,VI.S1.E6.C14,Vi jumps down pit
JX.S1.E6.C15 Jinx interrogates Sevika.mp4,Jinx,JX.S1.E6.C15,Jinx interrogates Sevika
SC.S1.E6.C16 Silco threatens Marcus.mp4,Silco,SC.S1.E6.C16,Silco threatens Marcus
PO.S1.E6.C17 Hexcore makes life.mp4,Piltover,PO.S1.E6.C17,Hexcore makes life
VT.S1.E6.C18 Viktor and Hexcore tuning life fails.mp4,Viktor,VT.S1.E6.C18,Viktor and Hexcore tuning life fails
CL.S1.E6.C19 Caitlyn carries injured Vi.mp4,Caitlyn,CL.S1.E6.C19,Caitlyn carries injured Vi
CL.S1.E6.C20 Caitlyn uses her gun.mp4,Caitlyn,CL.S1.E6.C20,Caitlyn uses her gun
CL.S1.E6.C21 Caitlyn treats Vi.mp4,Caitlyn,CL.S1.E6.C21,Caitlyn treats Vi
CL.S1.E6.C22 Caitlyn buys Shimmer.mp4,Caitlyn,CL.S1.E6.C22,Caitlyn buys Shimmer
CL.S1.E6.C23 Caitlyn hugs Huck.mp4,Caitlyn,CL.S1.E6.C23,Caitlyn hugs Huck
HM.S1.E6.C24 Heimerdinger wants Hexcore gone; trauma.mp4,Heimerdinger,HM.S1.E6.C24,Heimerdinger wants Hexcore gone; trauma
HM.S1.E6.C25 Heimerdinger lectures the Council.mp4,Heimerdinger,HM.S1.E6.C25,Heimerdinger lectures the Council
HM.S1.E6.C26 Heimerdinger removed from Council.mp4,Heimerdinger,HM.S1.E6.C26,Heimerdinger removed from Council
JC.S1.E6.C27 Jayce gets grenade from Marcus.mp4,Jayce,JC.S1.E6.C27,Jayce gets grenade from Marcus
JC.S1.E6.C28 Jayce angry at Heimerdinger.mp4,Jayce,JC.S1.E6.C28,Jayce angry at Heimerdinger
JC.S1.E6.C29 Jayce impeaches Heimerdinger.mp4,Jayce,JC.S1.E6.C29,Jayce impeaches Heimerdinger
CL.S1.E6.C30 Caitlyn gets touchy with Vi.mp4,Caitlyn,CL.S1.E6.C30,Caitlyn gets touchy with Vi
JX.S1.E6.C31 Jinx uses flare; catharsis.mp4,Jinx,JX.S1.E6.C31,Jinx uses flare; catharsis
VI.S1.E6.C32 Vi takes shimmer.mp4,Vi,VI.S1.E6.C32,Vi takes shimmer
EF.S1.E6.C33 Enforcers blockade bridge.mp4,Enforcers,EF.S1.E6.C33,Enforcers blockade bridge
SC.S1.E6.C34 Silco the druglord of shimmer.mp4,Silco,SC.S1.E6.C34,Silco the druglord of shimmer
SC.S1.E6.C35 Silco rages at his men and failure.mp4,Silco,SC.S1.E6.C35,Silco rages at his men and failure
VI.S1.E6.C36 Vi vs Silco.mp4,Vi,VI.S1.E6.C36,Vi vs Silco
VI.S1.E6.C37 Vi and Caitlyn run from Silco.mp4,Vi,VI.S1.E6.C37,Vi and Caitlyn run from Silco
VT.S1.E6.C38 Viktor leaves Singed.mp4,Viktor,VT.S1.E6.C38,Viktor leaves Singed
VT.S1.E6.C39 Viktor remeets Singed.mp4,Viktor,VT.S1.E6.C39,Viktor remeets Singed
JX.S1.E6.C40 Jinx throws away flare.mp4,Jinx,JX.S1.E6.C40,Jinx throws away flare
JX.S1.E6.C41 Jinx huged by Vi.mp4,Jinx,JX.S1.E6.C41,Jinx huged by Vi
JX.S1.E6.C42 Jinx paranoid of Caitlyn and Vi.mp4,Jinx,JX.S1.E6.C42,Jinx paranoid of Caitlyn and Vi
JX.S1.E6.C43 Jinx and Vi vs Firelights.mp4,Jinx,JX.S1.E6.C43,Jinx and Vi vs Firelights
JX.S1.E6.C44 Jinx sees Vi kidnapped; screams.mp4,Jinx,JX.S1.E6.C44,Jinx sees Vi kidnapped; screams
SC.S1.E6.C45 Silco sees tied up Sevika.mp4,Silco,SC.S1.E6.C45,Silco sees tied up Sevika
PO.S1.E7.C01 Hexgate at sunset.mp4,Piltover,PO.S1.E7.C01,Hexgate at sunset
FL.S1.E7.C02 Firelights intro.mp4,Firelights,FL.S1.E7.C02,Firelights intro
ML.S1.E7.C03 Mel seduces Jayce again.mp4,Mel,ML.S1.E7.C03,Mel seduces Jayce again
EK.S1.E7.C04 Ekko introduction; reveal and argues with Vi.mp4,Ekko,EK.S1.E7.C04,Ekko introduction; reveal and argues with Vi
XX.S1.E7.C05 Singed gives shimmer to Viktor.mp4,Singed,XX.S1.E7.C05,Singed gives shimmer to Viktor
VT.S1.E7.C06 Viktor gets shimmer from Singed.mp4,Viktor,VT.S1.E7.C06,Viktor gets shimmer from Singed
JC.S1.E7.C07 Jayce does blacksmithing.mp4,Jayce,JC.S1.E7.C07,Jayce does blacksmithing
JX.S1.E7.C08 Jinx psychotic episode.mp4,Jinx,JX.S1.E7.C08,Jinx psychotic episode
JX.S1.E7.C09 Jinx scary crazy.mp4,Jinx,JX.S1.E7.C09,Jinx scary crazy
SC.S1.E7.C10 Silco and Sevika talk.mp4,Silco,SC.S1.E7.C10,Silco and Sevika talk
EK.S1.E7.C11 Ekko shows Vi firelights.mp4,Ekko,EK.S1.E7.C11,Ekko shows Vi firelights
EF.S1.E7.C12 Enforcers deal with bridge rioters.mp4,Enforcers,EF.S1.E7.C12,Enforcers deal with bridge rioters
SC.S1.E7.C13 Silco intimidates Chembarons.mp4,Silco,SC.S1.E7.C13,Silco intimidates Chembarons
VT.S1.E7.C14 Viktor gets mad at Jayce.mp4,Viktor,VT.S1.E7.C14,Viktor gets mad at Jayce
ZN.S1.E7.C15 Chembarons mad at Silco.mp4,Zaun,ZN.S1.E7.C15,Chembarons mad at Silco
ML.S1.E7.C16 Mel worried.mp4,Mel,ML.S1.E7.C16,Mel worried
CL.S1.E7.C17 Caitlyn freed by Ekko and Vi.mp4,Caitlyn,CL.S1.E7.C17,Caitlyn freed by Ekko and Vi
JX.S1.E7.C18 Jinx angry at Silco.mp4,Jinx,JX.S1.E7.C18,Jinx angry at Silco
SC.S1.E7.C19 Silco convinces Jinx to trust; takes medicine.mp4,Silco,SC.S1.E7.C19,Silco convinces Jinx to trust; takes medicine
CL.S1.E7.C20 Caitlyn sees firelights.mp4,Caitlyn,CL.S1.E7.C20,Caitlyn sees firelights
CL.S1.E7.C21 Caitlyn convinces Ekko; talks about peace and compassion.mp4,Caitlyn,CL.S1.E7.C21,Caitlyn convinces Ekko; talks about peace and compassion
ML.S1.E7.C22 Mel convinces Jayce to build weapons.mp4,Mel,ML.S1.E7.C22,Mel convinces Jayce to build weapons
VT.S1.E7.C23 Viktor defuses bomb; talks about peace.mp4,Viktor,VT.S1.E7.C23,Viktor defuses bomb; talks about peace
EK.S1.E7.C24 Ekko Vi Caitlyn go to Piltover.mp4,Ekko,EK.S1.E7.C24,Ekko Vi Caitlyn go to Piltover
HM.S1.E7.C25 Heimerdinger goes to Zaun.mp4,Heimerdinger,HM.S1.E7.C25,Heimerdinger goes to Zaun
JC.S1.E7.C26 Jayce sad; hugs mom.mp4,Jayce,JC.S1.E7.C26,Jayce sad; hugs mom
VT.S1.E7.C27 Viktor takes Shimmer.mp4,Viktor,VT.S1.E7.C27,Viktor takes Shimmer
VT.S1.E7.C28 Viktor gives blood to Hexcore.mp4,Viktor,VT.S1.E7.C28,Viktor gives blood to Hexcore
VT.S1.E7.C29 Viktor's blood fused with Shimmer and Hextech.mp4,Viktor,VT.S1.E7.C29,Viktor's blood fused with Shimmer and Hextech
CL.S1.E7.C30 Caitlyn helped by Vi; shot by Jinx.mp4,Caitlyn,CL.S1.E7.C30,Caitlyn helped by Vi; shot by Jinx
EK.S1.E7.C31 Ekko steals Hexgem from Jinx.mp4,Ekko,EK.S1.E7.C31,Ekko steals Hexgem from Jinx
EK.S1.E7.C32 Ekko stopwatch time vs Jinx.mp4,Ekko,EK.S1.E7.C32,Ekko stopwatch time vs Jinx
EK.S1.E7.C33 Ekko vs Jinx in the past.mp4,Ekko,EK.S1.E7.C33,Ekko vs Jinx in the past
EK.S1.E7.C34 Ekko beats Jinx.mp4,Ekko,EK.S1.E7.C34,Ekko beats Jinx
EF.S1.E7.C35 Enforcers stop Ekko Caitlyn.mp4,Enforcers,EF.S1.E7.C35,Enforcers stop Ekko Caitlyn
JX.S1.E7.C36 Jinx paranoid about Vi Caitlyn.mp4,Jinx,JX.S1.E7.C36,Jinx paranoid about Vi Caitlyn
JX.S1.E7.C37 Jinx blows up Enforcers.mp4,Jinx,JX.S1.E7.C37,Jinx blows up Enforcers
MC.S1.E7.C38 Marcus dies.mp4,Marcus,MC.S1.E7.C39,Marcus dies
JX.S1.E7.C39 Jinx kills enforcers; shoots at Vi and Caitlyn.mp4,Jinx,JX.S1.E7.C39,Jinx kills enforcers; shoots at Vi and Caitlyn
JX.S1.E7.C40 Jinx blows her and Ekko up.mp4,Jinx,JX.S1.E7.C40,Jinx blows her and Ekko up
JX.S1.E7.C41 Jinx almost dead.mp4,Jinx,JX.S1.E7.C41,Jinx almost dead
VI.S1.E7.C42 Vi leaves Ekko Caitlyn for Jinx.mp4,Vi,VI.S1.E7.C42,Vi leaves Ekko Caitlyn for Jinx
VI.S1.E7.C43 Vi hears gunshots and runs back to Caitlyn Ekko.mp4,Vi,VI.S1.E7.C43,Vi hears gunshots and runs back to Caitlyn Ekko
VI.S1.E7.C44 Vi sees Ekko Jinx explosion.mp4,Vi,VI.S1.E7.C44,Vi sees Ekko Jinx explosion
PO.S1.E7.C45 Bridge after explosion.mp4,Piltover,PO.S1.E7.C45,Bridge after explosion
ML.S1.E8.C01 Mel flashback.mp4,Mel,ML.S1.E8.C01,Mel flashback
ML.S1.E8.C02 Mel watches girl die.mp4,Mel,ML.S1.E8.C02,Mel watches girl die
ML.S1.E8.C03 Mel nightmare.mp4,Mel,ML.S1.E8.C03,Mel nightmare
SC.S1.E8.C04 Silco takes an injured Jinx.mp4,Silco,SC.S1.E8.C04,Silco takes an injured Jinx
VI.S1.E8.C05 Vi watches Jinx taken.mp4,Vi,VI.S1.E8.C05,Vi watches Jinx taken
EF.S1.E8.C06 Enforcers dead.mp4,Enforcers,EF.S1.E8.C06,Enforcers dead
JC.S1.E8.C07 Jayce barfs; thinks Zaun bad.mp4,Jayce,JC.S1.E8.C07,Jayce barfs; thinks Zaun bad
ML.S1.E8.C08 Mel wants war.mp4,Mel,ML.S1.E8.C08,Mel wants war
ML.S1.E8.C09 Mel meets her Mom.mp4,Mel,ML.S1.E8.C09,Mel meets her Mom
ML.S1.E8.C10 Mel argues with her mom.mp4,Mel,ML.S1.E8.C10,Mel argues with her mom
VI.S1.E8.C11 Vi takes Cait home.mp4,Vi,VI.S1.E8.C11,Vi takes Cait home
VI.S1.E8.C12 Caitlyn talks to her mom.mp4,Vi,VI.S1.E8.C12,Caitlyn talks to her mom
CL.S1.E8.C13 Caitlyn and Vi talk in bed.mp4,Caitlyn,CL.S1.E8.C13,Caitlyn and Vi talk in bed
SC.S1.E8.C14 Silco takes injured Jinx to Singed.mp4,Silco,SC.S1.E8.C14,Silco takes injured Jinx to Singed
XX.S1.E8.C15 Singed in lab.mp4,Singed,XX.S1.E8.C15,Singed in lab
SV.S1.E8.C16 Sevika shows off new sword.mp4,Sevika,SV.S1.E8.C16,Sevika shows off new sword
AB.S1.E8.C17 Ambessa introduction.mp4,Ambessa,AB.S1.E8.C17,Ambessa introduction
JX.S1.E8.C18 Jinx takes Shimmer for surgery.mp4,Jinx,JX.S1.E8.C18,Jinx takes Shimmer for surgery
SC.S1.E8.C19 Silco wakes up; threatens Singed.mp4,Silco,SC.S1.E8.C19,Silco wakes up; threatens Singed
HM.S1.E8.C20 Heimerdinger sees Zaun.mp4,Heimerdinger,HM.S1.E8.C20,Heimerdinger sees Zaun
HM.S1.E8.C21 Heimerdinger entertains little girl.mp4,Heimerdinger,HM.S1.E8.C21,Heimerdinger entertains little girl
HM.S1.E8.C22 Heimerdinger sad.mp4,Heimerdinger,HM.S1.E8.C22,Heimerdinger sad
HM.S1.E8.C23 Heimerdinger meets Ekko.mp4,Heimerdinger,HM.S1.E8.C23,Heimerdinger meets Ekko
AB.S1.E8.C24 Ambessa pressures Jayce.mp4,Ambessa,AB.S1.E8.C24,Ambessa pressures Jayce
PO.S1.E8.C25 Council talk about dangerous Zaun.mp4,Piltover,PO.S1.E8.C25,Council talk about dangerous Zaun
CL.S1.E8.C26 Caitlyn presents to Council.mp4,Caitlyn,CL.S1.E8.C26,Caitlyn presents to Council
VI.S1.E8.C27 Vi pleads to Council.mp4,Vi,VI.S1.E8.C27,Vi pleads to Council
VI.S1.E8.C28 Vi breaks up with Caitlyn.mp4,Vi,VI.S1.E8.C28,Vi breaks up with Caitlyn
VT.S1.E8.C29 Viktor runs for first time.mp4,Viktor,VT.S1.E8.C29,Viktor runs for first time
VT.S1.E8.C30 Viktor does experiment without Shimmer.mp4,Viktor,VT.S1.E8.C30,Viktor does experiment without Shimmer
VT.S1.E8.C31 Viktor gets Skye killed.mp4,Viktor,VT.S1.E8.C31,Viktor gets Skye killed
VT.S1.E8.C32 Viktor realizes he killed skye.mp4,Viktor,VT.S1.E8.C32,Viktor realizes he killed skye
JC.S1.E8.C33 Jayce builds Hextech weapon.mp4,Jayce,JC.S1.E8.C33,Jayce builds Hextech weapon
JC.S1.E8.C34 Jayce meets Vi.mp4,Jayce,JC.S1.E8.C34,Jayce meets Vi
VI.S1.E8.C35 Vi gets Hex gloves.mp4,Vi,VI.S1.E8.C35,Vi gets Hex gloves
VI.S1.E8.C36 Vi makes a deal with Jayce.mp4,Vi,VI.S1.E8.C36,Vi makes a deal with Jayce
EF.S1.E8.C37 Enforcers raid Shimmer factory.mp4,Enforcers,EF.S1.E8.C37,Enforcers raid Shimmer factory
EF.S1.E8.C38 Enforcers killed by Chemtanks.mp4,Enforcers,EF.S1.E8.C38,Enforcers killed by Chemtanks
JC.S1.E8.C39 Jayce uses hammer to fight and kills kid.mp4,Jayce,JC.S1.E8.C39,Jayce uses hammer to fight and kills kid
JC.S1.E8.C40 Jayce kills a Zaunite child and realizes his mistakes.mp4,Jayce,JC.S1.E8.C40,Jayce kills a Zaunite child and realizes his mistakes
VI.S1.E8.C41 Vi and Jayce vs Chemtanks.mp4,Vi,VI.S1.E8.C41,Vi and Jayce vs Chemtanks
VI.S1.E8.C42 Vi uses her Hex gloves to fight Chemtanks.mp4,Vi,VI.S1.E8.C42,Vi uses her Hex gloves to fight Chemtanks
ZN.S1.E8.C43 Shimmer factory.mp4,Zaun,ZN.S1.E8.C43,Shimmer factory
ZN.S1.E8.C44 Chemtanks introduction.mp4,Zaun,ZN.S1.E8.C44,Chemtanks introduction
CL.S1.E8.C45 Caitlyn takes a shower.mp4,Caitlyn,CL.S1.E8.C45,Caitlyn takes a shower
CL.S1.E8.C46 Caitlyn kidnapped by Jinx.mp4,Caitlyn,CL.S1.E8.C46,Caitlyn kidnapped by Jinx
JC.S1.E9.C01 Jayce sad over killing a child.mp4,Jayce,JC.S1.E9.C01,Jayce sad over killing a child
JC.S1.E9.C02 Jayce vs Vi.mp4,Jayce,JC.S1.E9.C02,Jayce vs Vi
VI.S1.E9.C04 Vi takes down Shimmer.mp4,Vi,VI.S1.E9.C04,Vi takes down Shimmer
SC.S1.E9.C05 Silco loses control.mp4,Silco,SC.S1.E9.C05,Silco loses control
VT.S1.E9.C06 Viktor cries over assistant's death.mp4,Viktor,VT.S1.E9.C06,Viktor cries over assistant's death
VT.S1.E9.C07 Viktor tries to destroy Hexcore.mp4,Viktor,VT.S1.E9.C07,Viktor tries to destroy Hexcore
ML.S1.E9.C08 Mel argues with Ambessa again.mp4,Mel,ML.S1.E9.C08,Mel argues with Ambessa again
VT.S1.E9.C09 Viktor and Jayce talk about regrets.mp4,Viktor,VT.S1.E9.C09,Viktor and Jayce talk about regrets
JC.S1.E9.C10 Jayce negociates peace with Silco.mp4,Jayce,JC.S1.E9.C10,Jayce negociates peace with Silco
SV.S1.E9.C11 Sevika stays loyal to Silco and kills Chembaron.mp4,Sevika,SV.S1.E9.C11,Sevika stays loyal to Silco and kills Chembaron
HM.S1.E9.C12 Heimerdinger sees Firelights; learns to live in the present.mp4,Heimerdinger,HM.S1.E9.C12,Heimerdinger sees Firelights; learns to live in the present
JX.S1.E9.C13 Jinx overheards Silco's betrayal.mp4,Jinx,JX.S1.E9.C13,Jinx overheards Silco's betrayal
SC.S1.E9.C14 Silco talks about daughters to Vander statue.mp4,Silco,SC.S1.E9.C14,Silco talks about daughters to Vander statue
SV.S1.E9.C15 Sevika encounters Vi again.mp4,Sevika,SV.S1.E9.C15,Sevika encounters Vi again
VI.S1.E9.C16 Vi fights Sevika again but loses.mp4,Vi,VI.S1.E9.C16,Vi fights Sevika again but loses
VI.S1.E9.C17 Vi gets Vander flashback and gets back up to fight.mp4,Vi,VI.S1.E9.C17,Vi gets Vander flashback and gets back up to fight
VI.S1.E9.C18 Vi and Sevika clash again.mp4,Vi,VI.S1.E9.C18,Vi and Sevika clash again
VI.S1.E9.C19 Vi uses Hextech shield.mp4,Vi,VI.S1.E9.C19,Vi uses Hextech shield
VI.S1.E9.C20 Vi defeats Sevika again.mp4,Vi,VI.S1.E9.C20,Vi defeats Sevika again
